lon,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan_daily,Feb_daily,Mar_daily,Apr_daily,May_daily,Jun_daily,Jul_daily,Aug_daily,Sep_daily,Oct_daily,Nov_daily,Dec_daily
120.25,22.95,5.678,9.58,9.478,30.828,118.658,320.769,268.225,268.388,90.667,4.724,1.914,2.379,0.18,0.34,0.31,1.03,3.83,10.69,8.65,8.66,3.02,0.15,0.06,0.08
120.5,22.5,5.68,5.008,8.866,29.37,118.825,355.25,306.288,333.86,156.908,18.705,2.466,1.773,0.18,0.18,0.29,0.98,3.83,11.84,9.88,10.77,5.23,0.60,0.08,0.06
120.45,22.95,5.746,8.741,8.793,30.765,141.13,335.406,304.534,349.729,130.725,13.212,2.761,2.317,0.19,0.31,0.28,1.03,4.55,11.18,9.82,11.28,4.36,0.43,0.09,0.07
120.6,22.5,5.84,6.081,11.498,28.296,145.338,411.97,386.8,458.332,199.473,34.17,5.27,3.026,0.19,0.22,0.37,0.94,4.69,13.73,12.48,14.78,6.65,1.10,0.18,0.10
120.5,22.45,5.86,3.506,8.731,25.515,112.961,352.001,285.465,300.995,130.826,15.422,1.672,1.852,0.19,0.13,0.28,0.85,3.64,11.73,9.21,9.71,4.36,0.50,0.06,0.06
120.85,22.95,5.867,9.59,15.715,29.91,156.976,285.051,234.802,295.575,114.132,19.038,5.232,3.74,0.19,0.34,0.51,1.00,5.06,9.50,7.57,9.53,3.80,0.61,0.17,0.12
120.85,22.95,5.867,9.59,15.715,29.91,156.976,285.051,234.802,295.575,114.132,19.038,5.232,3.74,0.19,0.34,0.51,1.00,5.06,9.50,7.57,9.53,3.80,0.61,0.17,0.12
120.35,22.75,5.885,7.429,8.471,37.938,137.262,327.374,284.182,317.384,130.559,11.702,3.051,3.338,0.19,0.27,0.27,1.26,4.43,10.91,9.17,10.24,4.35,0.38,0.10,0.11
120.7,22.1,5.918,5.064,3.76,11.676,98.911,288.218,271.724,324.96,176.818,16.328,9.109,2.098,0.19,0.18,0.12,0.39,3.19,9.61,8.77,10.48,5.89,0.53,0.30,0.07
120.5,22.9,5.931,8.914,9.36,31.71,178.808,390.266,381.534,461.387,165.846,17.762,3.044,2.907,0.19,0.32,0.30,1.06,5.77,13.01,12.31,14.88,5.53,0.57,0.10,0.09
